epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,403.153,0.9978,2.34829,1.34714,0.85918,0.81038,0.87946,0.66088,0.91828,0.90062,1.17829,0.0099952,0.00333173,0.0099952,0.00333173,0.0099952,0.00333173,0.0099952,0.00333173
2,728.02,0.89214,1.32201,1.22711,0.86193,0.83158,0.88378,0.6665,0.94779,0.89047,1.22675,0.0197124,0.0065708,0.0197124,0.0065708,0.0197124,0.0065708,0.0197124,0.0065708
3,1032.37,0.95898,1.34947,1.25102,0.8279,0.78778,0.86005,0.61881,1.06183,1.03739,1.34152,0.0291468,0.00971559,0.0291468,0.00971559,0.0291468,0.00971559,0.0291468,0.00971559
4,1331.31,0.97029,1.33544,1.25568,0.8511,0.85294,0.90135,0.68108,0.94425,0.81226,1.21283,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,1632.34,0.89165,1.14122,1.20745,0.89361,0.87157,0.89839,0.69675,0.90798,0.77702,1.20446,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,1932.29,0.82063,1.01432,1.17049,0.92106,0.87135,0.91971,0.72853,0.83308,0.6386,1.1287,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,2233.46,0.78164,0.93747,1.1496,0.92222,0.89823,0.93432,0.7433,0.777,0.5883,1.10266,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,2535.45,0.75143,0.87586,1.13416,0.92904,0.91759,0.93769,0.75713,0.7569,0.55718,1.06134,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,2837.75,0.72438,0.83684,1.11855,0.91572,0.941,0.95311,0.77455,0.71907,0.53327,1.04322,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,3140.26,0.70449,0.7897,1.10888,0.92664,0.94477,0.95576,0.77724,0.72736,0.51069,1.05449,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,3440.73,0.68033,0.74115,1.0939,0.94205,0.96298,0.96794,0.78141,0.72394,0.46534,1.05155,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,4026.43,0.66097,0.71391,1.08771,0.94124,0.95535,0.9666,0.78611,0.7058,0.4566,1.0288,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,4898.17,0.65181,0.69393,1.08204,0.94507,0.96388,0.96356,0.7869,0.69889,0.4369,1.02922,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,5693.34,0.63835,0.6757,1.07412,0.9542,0.96203,0.96916,0.80447,0.68254,0.42601,1.01824,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,6445.72,0.62852,0.65842,1.07119,0.94915,0.96513,0.96925,0.80331,0.67561,0.43373,1.00331,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,7203.86,0.61191,0.63423,1.06349,0.96634,0.96852,0.9739,0.81251,0.65109,0.39779,0.99477,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,7677.91,0.60456,0.61413,1.05703,0.96609,0.97096,0.971,0.80935,0.66004,0.37913,1.00677,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,7977.78,0.59167,0.60383,1.05359,0.9478,0.97411,0.9687,0.80443,0.67193,0.38736,1.00716,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,8277.49,0.58422,0.5885,1.04679,0.96999,0.97724,0.97513,0.8155,0.64196,0.38133,0.98518,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,8577.13,0.57587,0.5783,1.04438,0.9727,0.97145,0.97576,0.80964,0.67556,0.38355,1.00917,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,8876.58,0.57531,0.5683,1.04556,0.96938,0.97038,0.97308,0.81785,0.65099,0.36961,1.00003,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,9176.82,0.56719,0.56038,1.0409,0.97246,0.97439,0.97248,0.82162,0.64151,0.36872,0.98498,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,9477.23,0.55791,0.54716,1.03736,0.96379,0.97247,0.97426,0.82534,0.63108,0.36804,0.97844,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,9777.25,0.5527,0.54069,1.03294,0.96228,0.97496,0.97162,0.82691,0.62089,0.36133,0.9672,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,10075.8,0.54586,0.52999,1.02999,0.97517,0.97683,0.97801,0.82848,0.6347,0.35854,0.98619,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
26,10375.4,0.53743,0.5197,1.02601,0.96583,0.97427,0.97198,0.82919,0.61134,0.35606,0.96427,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
27,10674.9,0.53375,0.51726,1.02512,0.96741,0.97983,0.97678,0.83,0.61261,0.34757,0.96427,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
28,10975.6,0.52593,0.49921,1.02113,0.97256,0.97983,0.97579,0.83209,0.60646,0.34975,0.95933,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143
29,11277,0.51861,0.49132,1.01584,0.96538,0.98538,0.97588,0.82682,0.61374,0.34861,0.96839,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
30,11578.9,0.51878,0.49412,1.01838,0.97047,0.98033,0.97587,0.82853,0.61203,0.33415,0.96334,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,11881.3,0.50863,0.48277,1.01094,0.97248,0.98308,0.97756,0.83586,0.60259,0.33538,0.96012,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,12180.8,0.50825,0.48079,1.0114,0.9776,0.98079,0.97712,0.83672,0.60332,0.33428,0.96171,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,12479.2,0.50528,0.47718,1.0137,0.9772,0.97981,0.97792,0.83636,0.60063,0.32594,0.95714,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,12777.9,0.50096,0.46961,1.00873,0.97758,0.97818,0.97756,0.8354,0.60047,0.33053,0.96019,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,13525.4,0.48887,0.4568,1.00379,0.97641,0.98208,0.97772,0.83752,0.59877,0.32751,0.96084,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,14291.8,0.4863,0.45074,1.00278,0.97281,0.98301,0.97745,0.83852,0.59373,0.32673,0.95785,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,15104.4,0.48245,0.44809,0.99923,0.97269,0.9836,0.97762,0.84063,0.58839,0.32495,0.94926,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
38,15993.9,0.47844,0.44113,0.99828,0.97554,0.97852,0.97729,0.84077,0.59014,0.32852,0.95032,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714
39,16687.2,0.47454,0.435,0.99794,0.97727,0.98094,0.97871,0.84049,0.59049,0.31962,0.95353,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
40,16987.3,0.47114,0.43062,0.99546,0.97855,0.9815,0.97779,0.83797,0.59123,0.31725,0.95418,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
41,17287.1,0.46914,0.42526,0.99578,0.9721,0.98458,0.97622,0.83733,0.59049,0.3196,0.9565,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
42,17587.2,0.46246,0.42248,0.99117,0.97141,0.98308,0.97832,0.84019,0.59048,0.31778,0.95783,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143
43,17886.7,0.45954,0.41173,0.98879,0.97398,0.98329,0.97809,0.84179,0.58618,0.31547,0.95551,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
44,18186.8,0.45572,0.41101,0.99003,0.97554,0.98367,0.97844,0.84176,0.58355,0.31353,0.95269,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857
45,18486.4,0.44899,0.40251,0.98551,0.97553,0.98461,0.97862,0.84447,0.5803,0.3111,0.94938,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
46,18789.8,0.43909,0.39955,0.98293,0.97662,0.98549,0.97836,0.84456,0.57679,0.30983,0.94883,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571
47,19090.1,0.43839,0.39251,0.98015,0.97653,0.9851,0.97822,0.84536,0.57411,0.30932,0.94754,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
